SpaceID,BlockFace,MeterType,RateType,RateRange,MeteredTimeLimit,ParkingPolicy,StreetCleaning,LatLng
52215,1100 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025399, -118.289549)"
52218,1100 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025398, -118.289295)"
52219,1100 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025399, -118.289235)"
52220,1100 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025398, -118.289145)"
52221,1100 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025398, -118.289079)"
52222,1000 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025399, -118.288983)"
52223,1000 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025399, -118.28892)"
52224,1000 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025399, -118.288827)"
52225,1000 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025398, -118.288768)"
52226,1000 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025398, -118.288677)"
52227,1000 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025398, -118.288618)"
52416,600 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.022558, -118.281684)"
52417,600 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.022532, -118.281624)"
52418,600 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.022497, -118.281545)"
52419,600 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.02247, -118.281484)"
52420,600 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.022434, -118.281403)"
52421,600 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.022408, -118.281344)"
52422,600 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.022375, -118.281269)"
52423,600 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.022349, -118.28121)"
56101,10201 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.060552, -118.419962)"
56102,10201 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.06052, -118.42001)"
56103,10201 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.060475, -118.420075)"
56104,10201 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.060318, -118.420305)"
56105,10201 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.060283, -118.420356)"
56106,10201 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.060236, -118.420422)"
56110,10201 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.059996, -118.420776)"
56111,10201 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.059965, -118.420821)"
56112,10201 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.059809, -118.421046)"
56113,10201 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.059711, -118.421188)"
56114,10201 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.059678, -118.421234)"
56117,10301 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,30MIN,8A-8P Mon-Sat,,"(34.059381, -118.421668)"
56118,10301 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,30MIN,8A-8P Mon-Sat,,"(34.059348, -118.421716)"
56119,10301 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,30MIN,8A-8P Mon-Sat,,"(34.059302, -118.421785)"
56120,10301 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,30MIN,8A-8P Mon-Sat,,"(34.059269, -118.42183)"
56121,10301 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.059188, -118.421952)"
56122,10301 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.059153, -118.422002)"
56123,10301 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.05911, -118.422064)"
56124,10301 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.059076, -118.422114)"
56125,10301 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.059028, -118.422183)"
56126,10301 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.058739, -118.422603)"
56127,10301 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.058704, -118.422656)"
56128,10301 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.058659, -118.422725)"
56129,10301 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.058625, -118.422774)"
56132,10401 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.058338, -118.423184)"
56133,10401 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.058304, -118.423231)"
56134,10401 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.058259, -118.423295)"
56135,10401 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.058225, -118.423344)"
56138,10401 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.057171, -118.424894)"
56139,10401 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.057137, -118.424945)"
56140,10401 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.057029, -118.425102)"
56148,10401 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.05652, -118.425835)"
56149,10401 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.056486, -118.425885)"
56150,10401 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.056336, -118.426101)"
56151,10401 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.056303, -118.426149)"
56152,10401 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.056223, -118.426266)"
56153,10401 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.056187, -118.426318)"
56154,10401 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.056139, -118.426385)"
56155,10401 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.056102, -118.426438)"
56158,10501 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.05532, -118.427574)"
56159,10501 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.055288, -118.427624)"
56160,10501 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.055159, -118.42781)"
56161,10501 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.055075, -118.427933)"
56162,10501 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.055042, -118.427982)"
56163,10501 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.054994, -118.428048)"
56164,10501 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.054962, -118.428097)"
56165,10501 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.054918, -118.428161)"
56166,10501 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.054884, -118.428211)"
56167,10501 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.054836, -118.428281)"
56171,10501 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.054566, -118.428675)"
56172,10501 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.054531, -118.428727)"
56173,10501 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.054487, -118.428795)"
56174,10501 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.054452, -118.428846)"
56177,10601 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,4HR,NP 9A-11A Daily | PKG 11A-12A Daily,,"(34.053599, -118.430079)"
56178,10601 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,4HR,NP 9A-11A Daily | PKG 11A-12A Daily,,"(34.053564, -118.430131)"
56179,10601 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.053465, -118.430275)"
56180,10601 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.05343, -118.430325)"
56181,10601 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.053384, -118.430393)"
56182,10601 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.05335, -118.430442)"
56183,10601 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.053307, -118.430507)"
56184,10601 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.053205, -118.430654)"
56185,10601 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.053171, -118.430703)"
56186,10601 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.053125, -118.430772)"
56187,10601 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.053091, -118.430823)"
56200,11000 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.047902, -118.442764)"
56201,11000 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.047915, -118.442698)"
56202,11000 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.047953, -118.442559)"
56203,11000 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.04797, -118.442498)"
56204,11000 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.047992, -118.442414)"
56239,11000 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.047999, -118.442604)"
56240,11000 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.048015, -118.442544)"
56241,11000 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.048039, -118.442459)"
56242,11000 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.048056, -118.442399)"
56243,11000 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.04808, -118.442314)"
56244,11000 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.048097, -118.442253)"
56245,11000 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.048119, -118.442176)"
56246,11000 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.048136, -118.442115)"
56247,11000 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.04816, -118.442031)"
56248,11000 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.048176, -118.44197)"
56249,11000 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.048196, -118.441892)"
56250,11000 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.048212, -118.441831)"
56251,11000 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.048236, -118.441746)"
56252,11000 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.048252, -118.441685)"
56253,11000 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.048277, -118.441599)"
56254,11000 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.048294, -118.44154)"
56255,11000 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.048316, -118.441467)"
56256,11000 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.048332, -118.441407)"
56257,11000 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.048355, -118.441321)"
56258,11000 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.048371, -118.441261)"
56259,11000 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.048395, -118.441176)"
56262,10900 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.0485, -118.440753)"
56263,10900 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.048514, -118.440696)"
56264,10900 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.048534, -118.440609)"
56265,10900 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.048549, -118.440549)"
56301,10801 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.050328, -118.435556)"
56302,10801 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.050312, -118.435613)"
56303,10801 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.050288, -118.435703)"
56304,10801 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.050272, -118.435765)"
56307,10801 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.050084, -118.436332)"
56308,10801 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.050069, -118.436385)"
56309,10801 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.050043, -118.436475)"
56310,10801 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.050027, -118.436534)"
56311,10801 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.049972, -118.436732)"
56314,10901 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.049549, -118.438359)"
56315,10901 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.0495, -118.438529)"
56316,10901 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.049476, -118.438615)"
56317,10901 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.049458, -118.438677)"
56318,10901 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.049409, -118.438859)"
56319,10901 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.049386, -118.438941)"
56320,10901 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.049369, -118.439)"
56323,10901 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.049161, -118.439619)"
56324,10901 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.049144, -118.439684)"
56325,10901 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.049102, -118.439829)"
56326,10901 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.049086, -118.439884)"
56329,11001 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.04828, -118.442703)"
56330,11001 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.048263, -118.442765)"
56331,11001 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.048239, -118.442846)"
56332,11001 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.048224, -118.442905)"
56401,10900 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.048784, -118.439681)"
56402,10900 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.048783, -118.439615)"
56403,10900 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.048789, -118.439531)"
56404,10900 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,15MIN,8A-8P Mon-Sat,,"(34.048796, -118.439467)"
56405,10900 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,15MIN,8A-8P Mon-Sat,,"(34.048813, -118.439383)"
56406,10900 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.048832, -118.439324)"
56407,10900 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.048855, -118.439239)"
56408,10900 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.048871, -118.439184)"
56409,10900 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.048894, -118.439098)"
56410,10900 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.048911, -118.439038)"
56413,10900 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.049049, -118.43854)"
56414,10900 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.049064, -118.438484)"
56415,10900 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.049122, -118.43828)"
56416,10900 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.049137, -118.438224)"
56417,10900 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.049162, -118.438135)"
56418,10900 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.049179, -118.438076)"
56419,10900 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.049221, -118.437923)"
